query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-3', 'MED-4053', 'MED-5088', 'MED-5209', 'MED-4916', 'MED-674', 'MED-4198', 'MED-1820', 'MED-2616']","[703.4495066796644, 469.4073816899184, 360.8515783193584, 357.44908979180803, 328.30342219898694, 312.65473792182775, 212.49184354514986, 138.8786018937964, 135.38031478571205, 128.14339425320986, 101.81483618321721]",0.9715593982236436
PLAIN-2,"['MED-13', 'MED-2427', 'MED-9', 'MED-1193', 'MED-2439', 'MED-19', 'MED-4675', 'MED-4676', 'MED-2436', 'MED-3795', 'MED-2632']","[458.886922240659, 420.2043994510681, 420.2043994510681, 341.6020933577077, 281.05634369138005, 281.05634369138005, 211.51160316533958, 211.51160316533958, 197.37950742956795, 188.5553235999402, 169.07448647242472]",0.8837988945311614
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-2439', 'MED-3826', 'MED-355', 'MED-3135', 'MED-3795', 'MED-1958', 'MED-4676', 'MED-2632', 'MED-4662']","[354.681046373123, 298.57828635674144, 287.8548444397399, 239.09934337127666, 213.10233468149113, 213.10233468149113, 175.75707026244928, 156.25728403589417, 146.02224200946176, 142.68380079922565, 97.46462308207606]",0.9251585789532443
PLAIN-4,"['MED-2454', 'MED-31', 'MED-4677', 'MED-895', 'MED-765', 'MED-3150', 'MED-366', 'MED-3067', 'MED-5248', 'MED-2468', 'MED-5343']","[428.1633989406257, 260.0356998905228, 187.83775480331406, 179.47292559638146, 163.84610780972994, 156.64896941228673, 156.64896941228673, 135.17776321078932, 133.13310511539396, 123.02056842918815, 113.63138081214959]",0.9027737269669114
PLAIN-5,"['MED-2447', 'MED-2456', 'MED-31', 'MED-3744', 'MED-4014', 'MED-5172', 'MED-4091', 'MED-5084', 'MED-1172', 'MED-2468', 'MED-4884']","[470.69234231249044, 305.738026174591, 305.738026174591, 290.89776355786927, 230.0703803446066, 225.45279491253342, 200.85841051542803, 200.06452650053654, 165.4836786494664, 158.4810186711565, 151.81690694221112]",0.9239925450469779
PLAIN-6,"['MED-25', 'MED-2456', 'MED-2664', 'MED-895', 'MED-2468', 'MED-5084', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-4840']","[585.3816506064405, 437.54855135055595, 275.9619336680836, 273.5308470326798, 264.89525264329603, 256.1613669087317, 242.05663524008912, 236.0087009719101, 188.493082270131, 166.03903589936562]",0.9528188862504737
PLAIN-7,"['MED-31', 'MED-27', 'MED-2478', 'MED-2637', 'MED-38', 'MED-2468', 'MED-895', 'MED-2339', 'MED-635', 'MED-5084', 'MED-4489']","[571.99616700029, 474.9359795179323, 405.87802429526306, 324.49421605785824, 268.6735552839628, 268.6735552839628, 249.02508387960907, 230.82301904680716, 195.6842744390276, 168.42735140504712, 149.50143540669504]",0.9115991381230564
PLAIN-8,"['MED-47', 'MED-1449', 'MED-2423', 'MED-3085', 'MED-4593', 'MED-2206', 'MED-1770', 'MED-5110', 'MED-4490', 'MED-2284', 'MED-1570']","[210.29845868188212, 199.3518533479302, 134.96490587958095, 125.12153956855948, 118.42614774375407, 109.36481613186729, 101.87849054182895, 99.24056632934727, 88.38991494413821, 76.37466044356961, 73.69636469994195]",0.968834990732552
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4910', 'MED-4531', 'MED-4734', 'MED-2809', 'MED-3089', 'MED-2284', 'MED-316', 'MED-3039', 'MED-5075']","[719.7985428459981, 509.3856302814301, 509.3856302814301, 375.53040621971616, 337.1832804961906, 169.6584884729528, 154.6689846829205, 148.9042361451574, 99.94749146986415, 98.21724323330832, 71.90324607144598]",0.9553225715730858
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-3590', 'MED-2911', 'MED-1099', 'MED-4533', 'MED-1838', 'MED-853', 'MED-4490', 'MED-1272', 'MED-931']","[529.3431348907731, 280.306621256023, 241.113091739181, 231.21492545809846, 226.90070068147682, 169.60491011110037, 156.6828485467293, 144.07736523659986, 116.51184086649766, 113.33851188722389, 105.70111574360067]",0.9525278716973512
PLAIN-11,"['MED-3273', 'MED-2509', 'MED-2506', 'MED-2325', 'MED-2138', 'MED-3082', 'MED-3069', 'MED-3309', 'MED-4198', 'MED-2711']","[433.0912600549884, 330.6358168778309, 288.4974322189156, 254.90539444037964, 235.46098033354073, 175.07016162634451, 175.07016162634451, 154.84475591344915, 135.57118750311946, 79.47324713499923]",0.9107195785050162
PLAIN-12,"['MED-73', 'MED-2500', 'MED-2506', 'MED-66', 'MED-74', 'MED-2518', 'MED-3852', 'MED-1119', 'MED-1570', 'MED-855']","[234.49995302722516, 215.24833103566263, 184.21335287244113, 150.8039677414996, 80.76967482289166, 80.2675178159178, 72.4892628443024, 72.4892628443024, 66.65632547025928, 53.433521047020136]",0.8722305773642931
PLAIN-14,"['MED-2522', 'MED-2293', 'MED-4990', 'MED-2001', 'MED-2270', 'MED-2009', 'MED-4956', 'MED-4399', 'MED-4716', 'MED-1482', 'MED-2089']","[236.8740720727007, 180.0626829749519, 150.95192266102842, 140.28791715233783, 120.27000589908492, 104.70872342265297, 99.2232473446124, 97.93232688876041, 90.33312254995751, 82.59673003724349, 73.06776795940247]",0.9461522061401841
PLAIN-15,"['MED-76', 'MED-728', 'MED-2428', 'MED-3091', 'MED-4830', 'MED-4676', 'MED-4806', 'MED-5343', 'MED-3603', 'MED-736']","[284.59263011952964, 221.8630967536407, 171.38765358481163, 159.29564245816536, 142.51311946474584, 110.18133400954166, 98.62918971897945, 93.5825873456569, 87.13894975113568, 71.63581388413408]",0.9477288746649805
PLAIN-16,"['MED-2989', 'MED-2539', 'MED-3548', 'MED-2984', 'MED-2417', 'MED-4156', 'MED-4155', 'MED-3258', 'MED-3732', 'MED-3795']","[373.78594222178134, 358.9216898565792, 277.32486569899305, 208.90572569273897, 203.50494620255753, 178.74691154284085, 178.74691154284085, 135.36380947144082, 131.36511397713582, 118.62355777508948]",0.8950944683381815
PLAIN-17,"['MED-4777', 'MED-85', 'MED-2986', 'MED-294', 'MED-4465', 'MED-1333', 'MED-4444', 'MED-4652', 'MED-1825', 'MED-4060', 'MED-4489']","[376.06840259761225, 364.2001607404666, 345.96367188112794, 345.96367188112794, 227.6016435101008, 221.62383608075262, 216.6132390572673, 216.6132390572673, 210.42595487685352, 149.34609683400475, 123.2290490366565]",0.9151087407348738
PLAIN-18,"['MED-2578', 'MED-1077', 'MED-2983', 'MED-2985', 'MED-1420', 'MED-2249', 'MED-4056', 'MED-5075', 'MED-1028', 'MED-4746', 'MED-1820']","[341.18043346884065, 251.3710861590253, 243.09145652015786, 233.26087281261033, 189.927566764064, 187.40775251218983, 173.38998230837848, 135.50596179346073, 113.82738654654185, 103.97927368611357, 95.8117766966101]",0.9385540447988815
PLAIN-19,"['MED-4880', 'MED-1662', 'MED-1516', 'MED-1692', 'MED-1019', 'MED-5248', 'MED-4676', 'MED-317', 'MED-730', 'MED-5201', 'MED-5142']","[411.5629022692907, 212.94856336495243, 169.91902625734775, 162.3156495261668, 152.3894197169611, 125.92643189738907, 125.53801594679621, 108.3121346090939, 100.1878729384505, 90.14488202378418, 85.52343677218539]",0.9552886900347406
PLAIN-20,"['MED-106', 'MED-1092', 'MED-1095', 'MED-2082', 'MED-4464', 'MED-740', 'MED-3569', 'MED-1570', 'MED-4427', 'MED-4489', 'MED-2263']","[416.86856115238345, 175.98390547479966, 160.5397979292535, 160.5397979292535, 148.32036354205, 105.64647493767323, 102.8272342268241, 99.2021246443779, 86.24262245683572, 86.14377710283739, 83.93037368021871]",0.9183961577943938
PLAIN-21,"['MED-2606', 'MED-4040', 'MED-1605', 'MED-317', 'MED-1599', 'MED-3633', 'MED-851', 'MED-2089', 'MED-3852', 'MED-1119', 'MED-1947']","[327.92591195315515, 174.77653453321213, 172.29662622724248, 160.13657189961413, 157.52424887147345, 125.41036798821233, 124.15487525022287, 98.72131153952893, 90.36113518969721, 90.36113518969721, 79.87212580005419]",0.9268036094925581
PLAIN-22,"['MED-2824', 'MED-3000', 'MED-1811', 'MED-4156', 'MED-1820', 'MED-2492', 'MED-51', 'MED-1958', 'MED-4899', 'MED-2468', 'MED-3528']","[381.60319724053943, 250.7561816768824, 217.1790224938727, 197.93522416087168, 180.57595889180286, 168.7988765689738, 168.7988765689738, 154.84778658153448, 137.7682487172209, 122.96304008693784, 119.73204213123337]",0.9307826749104728
PLAIN-23,"['MED-2629', 'MED-2630', 'MED-2917', 'MED-1763', 'MED-1570', 'MED-2087', 'MED-1267', 'MED-4399', 'MED-4490', 'MED-4899', 'MED-335']","[390.3742370698156, 339.2177909451519, 325.727569439301, 252.38121160817062, 236.9949395758271, 236.3290726452061, 187.93993151399835, 182.70345848256633, 163.59331094894907, 160.5169812735892, 157.87208472556745]",0.9446614825449032
PLAIN-24,"['MED-2650', 'MED-2623', 'MED-4277', 'MED-128', 'MED-2633', 'MED-1769', 'MED-2059', 'MED-1272', 'MED-335', 'MED-1570', 'MED-931']","[313.777984104475, 258.87639287864704, 244.8721647016076, 185.65185692122222, 163.16538040700166, 120.10335068966397, 110.26103030835564, 95.30114213196705, 84.97458860955626, 80.46918422864454, 70.52401307831298]",0.9508945756218852
PLAIN-25,"['MED-2668', 'MED-133', 'MED-2670', 'MED-1500', 'MED-991', 'MED-1501', 'MED-5067', 'MED-310', 'MED-3020', 'MED-3945', 'MED-4198']","[449.4062185124893, 410.4864731612467, 271.93007745680023, 224.48736225773396, 223.9011412079966, 223.11601316607758, 171.3604107455519, 148.89333086377775, 148.89333086377775, 139.44520799900943, 92.22756378287976]",0.9120709959378007
PLAIN-26,"['MED-141', 'MED-335', 'MED-3499', 'MED-1762', 'MED-577', 'MED-4205', 'MED-5110', 'MED-5075', 'MED-1570', 'MED-4660', 'MED-38']","[233.74796261939625, 183.79180855382182, 183.37121614213999, 180.17094477698373, 179.1820914969169, 170.10109477644514, 151.91433587634347, 100.95029890437166, 59.334437374770815, 52.84361199270017, 52.28071342806418]",0.9691061032779796
PLAIN-27,"['MED-145', 'MED-2677', 'MED-2237', 'MED-4040', 'MED-4472', 'MED-1417', 'MED-3633', 'MED-4675', 'MED-3044', 'MED-1442', 'MED-2206']","[561.7435868529915, 547.1002671419573, 383.25265772433, 334.0608898234258, 306.15631550420153, 178.43841554363888, 157.98397675520818, 134.6732893066103, 130.33343131048545, 125.75538139328417, 123.12435731948808]",0.9469416374824594
PLAIN-28,"['MED-150', 'MED-151', 'MED-889', 'MED-4524', 'MED-2699', 'MED-2188', 'MED-708', 'MED-1783', 'MED-4136', 'MED-4490']","[304.04857515958656, 274.08374305634646, 267.96523356119377, 238.75332687586598, 235.09737239174157, 175.20948135778022, 127.94001424013275, 110.43577549867726, 94.06137121037798, 90.25234470503244]",0.9618870953739195
PLAIN-29,"['MED-154', 'MED-5083', 'MED-2957', 'MED-4413', 'MED-2285', 'MED-5084', 'MED-4203', 'MED-1783', 'MED-708', 'MED-547', 'MED-4198']","[288.34568317869815, 231.74797167512833, 230.74081737908452, 222.7872810984597, 200.87164450618957, 196.42993775907448, 184.0075600103213, 127.78939442119623, 111.93338146605475, 68.11310192322067, 64.36118894690505]",0.9309469985132931
PLAIN-31,"['MED-160', 'MED-161', 'MED-3460', 'MED-5370', 'MED-1356', 'MED-2618', 'MED-438', 'MED-895', 'MED-1846', 'MED-723', 'MED-855']","[548.6082856037262, 305.3717493067233, 191.2335937064817, 180.08910023986115, 176.71414224740164, 165.49768224833554, 159.43648873290036, 124.24041885963429, 114.23771294915282, 82.98817959142757, 64.27530728570308]",0.8992677085985031
PLAIN-32,"['MED-963', 'MED-4429', 'MED-3187', 'MED-3654', 'MED-1770', 'MED-4675', 'MED-4676', 'MED-4471', 'MED-860', 'MED-2074', 'MED-3603']","[432.20873791307366, 401.140094696697, 309.2973017735634, 200.3943681455715, 185.24172369319348, 182.28081460104195, 182.28081460104195, 160.86067222063815, 159.9962274528101, 95.69892423746677, 69.04851931252814]",0.953354441475432
PLAIN-33,"['MED-2717', 'MED-168', 'MED-2304', 'MED-4728', 'MED-4868', 'MED-4264', 'MED-1987', 'MED-4966', 'MED-3635', 'MED-4198', 'MED-855']","[299.4110174999407, 197.5440683868283, 145.74122543043725, 124.14564627003367, 105.71994314733124, 98.11115696645408, 94.2305192590824, 82.15902568642863, 77.01422629886794, 69.93657982672354, 64.18783381016557]",0.9529480150528886
