query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-3', 'MED-5209', 'MED-4916', 'MED-674', 'MED-4198', 'MED-1820', 'MED-2074', 'MED-2616']","[703.4495066796644, 469.4073816899184, 360.8515783193584, 312.65473792182775, 212.49184354514986, 138.8786018937964, 135.38031478571205, 128.14339425320986, 115.9391594862332, 101.81483618321721]",0.96653738860601
PLAIN-2,"['MED-13', 'MED-2427', 'MED-1193', 'MED-2439', 'MED-19', 'MED-1207', 'MED-4675', 'MED-2436', 'MED-3795', 'MED-2632', 'MED-702']","[458.886922240659, 420.2043994510681, 341.6020933577077, 281.05634369138005, 281.05634369138005, 268.97504779650336, 211.51160316533958, 197.37950742956795, 188.5553235999402, 169.07448647242472, 147.34902356899894]",0.9277932798511698
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-2439', 'MED-19', 'MED-3826', 'MED-355', 'MED-3135', 'MED-1958', 'MED-4676', 'MED-4662']","[354.681046373123, 298.57828635674144, 287.8548444397399, 287.8548444397399, 239.09934337127666, 213.10233468149113, 213.10233468149113, 156.25728403589417, 146.02224200946176, 97.46462308207606]",0.9033065344934059
PLAIN-4,"['MED-2454', 'MED-31', 'MED-4677', 'MED-3517', 'MED-565', 'MED-5172', 'MED-3289', 'MED-3150', 'MED-3067', 'MED-5248', 'MED-5343']","[428.1633989406257, 260.0356998905228, 187.83775480331406, 178.00507131110322, 178.00507131110322, 174.16856065327735, 171.78568296824113, 156.64896941228673, 135.17776321078932, 133.13310511539396, 113.63138081214959]",0.8648479416734947
PLAIN-5,"['MED-2447', 'MED-33', 'MED-2456', 'MED-3744', 'MED-5172', 'MED-1172', 'MED-891', 'MED-2468', 'MED-38', 'MED-765']","[470.69234231249044, 470.69234231249044, 305.738026174591, 290.89776355786927, 225.45279491253342, 165.4836786494664, 161.20497121214356, 158.4810186711565, 158.4810186711565, 156.03997041881345]",0.8878927843545439
PLAIN-6,"['MED-25', 'MED-2456', 'MED-2664', 'MED-895', 'MED-2468', 'MED-38', 'MED-5084', 'MED-4677', 'MED-4181', 'MED-2339', 'MED-4840']","[585.3816506064405, 437.54855135055595, 275.9619336680836, 273.5308470326798, 264.89525264329603, 264.89525264329603, 256.1613669087317, 242.05663524008912, 188.493082270131, 177.9914479209275, 166.03903589936562]",0.9102185050569532
PLAIN-7,"['MED-31', 'MED-2456', 'MED-2478', 'MED-2637', 'MED-38', 'MED-2468', 'MED-2339', 'MED-765', 'MED-1168', 'MED-899']","[571.99616700029, 571.99616700029, 405.87802429526306, 324.49421605785824, 268.6735552839628, 268.6735552839628, 230.82301904680716, 230.82301904680716, 174.35904064661344, 149.28490524877833]",0.8820763026081797
PLAIN-8,"['MED-47', 'MED-2488', 'MED-2423', 'MED-3085', 'MED-4593', 'MED-2206', 'MED-5110', 'MED-2230', 'MED-2284', 'MED-1570']","[210.29845868188212, 210.29845868188212, 134.96490587958095, 125.12153956855948, 118.42614774375407, 109.36481613186729, 99.24056632934727, 80.20501548180698, 76.37466044356961, 73.69636469994195]",0.9440820653941228
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4910', 'MED-4531', 'MED-4734', 'MED-4528', 'MED-4533', 'MED-2809', 'MED-3089', 'MED-3039', 'MED-5075']","[719.7985428459981, 509.3856302814301, 509.3856302814301, 375.53040621971616, 337.1832804961906, 332.8519716097755, 332.8519716097755, 169.6584884729528, 154.6689846829205, 98.21724323330832, 71.90324607144598]",0.9268705359736165
PLAIN-10,"['MED-2494', 'MED-2911', 'MED-1099', 'MED-4533', 'MED-4528', 'MED-1838', 'MED-721', 'MED-2063', 'MED-2059', 'MED-4490', 'MED-1272']","[529.3431348907731, 231.21492545809846, 226.90070068147682, 169.60491011110037, 169.60491011110037, 156.6828485467293, 130.01186193917974, 126.63489537665579, 121.92688444449077, 116.51184086649766, 113.33851188722389]",0.9330198471334885
PLAIN-11,"['MED-3273', 'MED-2509', 'MED-2506', 'MED-2325', 'MED-3082', 'MED-3069', 'MED-3093', 'MED-4746', 'MED-854', 'MED-2711']","[433.0912600549884, 330.6358168778309, 288.4974322189156, 254.90539444037964, 175.07016162634451, 175.07016162634451, 175.07016162634451, 106.92276845420142, 99.6095112953259, 79.47324713499923]",0.8759095570095768
PLAIN-12,"['MED-73', 'MED-2506', 'MED-66', 'MED-2510', 'MED-4969', 'MED-4965', 'MED-4362', 'MED-2518', 'MED-1570', 'MED-5343']","[234.49995302722516, 184.21335287244113, 150.8039677414996, 150.8039677414996, 94.12375036157853, 94.12375036157853, 94.12375036157853, 80.2675178159178, 66.65632547025928, 51.184806747173674]",0.8388973736847148
