query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-3', 'MED-4053', 'MED-5088', 'MED-5209', 'MED-4916', 'MED-674', 'MED-4198', 'MED-1820', 'MED-2616']","[703.4495066796644, 469.4073816899184, 360.8515783193584, 357.44908979180803, 328.30342219898694, 312.65473792182775, 212.49184354514986, 138.8786018937964, 135.38031478571205, 128.14339425320986, 101.81483618321721]",0.9715593982236436
PLAIN-2,"['MED-13', 'MED-2427', 'MED-1193', 'MED-1477', 'MED-1874', 'MED-2432', 'MED-2439', 'MED-4675', 'MED-2436', 'MED-3795', 'MED-2632']","[458.886922240659, 420.2043994510681, 341.6020933577077, 285.1027765173903, 285.1027765173903, 285.1027765173903, 281.05634369138005, 211.51160316533958, 197.37950742956795, 188.5553235999402, 169.07448647242472]",0.8882346665160086
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-2439', 'MED-3826', 'MED-355', 'MED-3795', 'MED-1958', 'MED-4676', 'MED-2632', 'MED-120', 'MED-4662']","[354.681046373123, 298.57828635674144, 287.8548444397399, 239.09934337127666, 213.10233468149113, 175.75707026244928, 156.25728403589417, 146.02224200946176, 142.68380079922565, 142.68380079922565, 97.46462308207606]",0.9242423900370552
PLAIN-4,"['MED-2454', 'MED-31', 'MED-4677', 'MED-895', 'MED-3517', 'MED-3289', 'MED-765', 'MED-3150', 'MED-3067', 'MED-5248', 'MED-5343']","[428.1633989406257, 260.0356998905228, 187.83775480331406, 179.47292559638146, 178.00507131110322, 171.78568296824113, 163.84610780972994, 156.64896941228673, 135.17776321078932, 133.13310511539396, 113.63138081214959]",0.8945721520780151
PLAIN-5,"['MED-2447', 'MED-2456', 'MED-3744', 'MED-4014', 'MED-5172', 'MED-4091', 'MED-5084', 'MED-1172', 'MED-891', 'MED-2468', 'MED-4884']","[470.69234231249044, 305.738026174591, 290.89776355786927, 230.0703803446066, 225.45279491253342, 200.85841051542803, 200.06452650053654, 165.4836786494664, 161.20497121214356, 158.4810186711565, 151.81690694221112]",0.9481342964617251
PLAIN-6,"['MED-25', 'MED-2456', 'MED-2664', 'MED-895', 'MED-2468', 'MED-5084', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-2339', 'MED-4840']","[585.3816506064405, 437.54855135055595, 275.9619336680836, 273.5308470326798, 264.89525264329603, 256.1613669087317, 242.05663524008912, 236.0087009719101, 188.493082270131, 177.9914479209275, 166.03903589936562]",0.9431685666978221
PLAIN-7,"['MED-31', 'MED-27', 'MED-2478', 'MED-2637', 'MED-38', 'MED-895', 'MED-2339', 'MED-635', 'MED-5084', 'MED-4489', 'MED-899']","[571.99616700029, 474.9359795179323, 405.87802429526306, 324.49421605785824, 268.6735552839628, 249.02508387960907, 230.82301904680716, 195.6842744390276, 168.42735140504712, 149.50143540669504, 149.28490524877833]",0.931086680184531
PLAIN-8,"['MED-47', 'MED-1449', 'MED-2423', 'MED-3085', 'MED-4593', 'MED-2206', 'MED-1770', 'MED-5110', 'MED-4490', 'MED-2284', 'MED-1570']","[210.29845868188212, 199.3518533479302, 134.96490587958095, 125.12153956855948, 118.42614774375407, 109.36481613186729, 101.87849054182895, 99.24056632934727, 88.38991494413821, 76.37466044356961, 73.69636469994195]",0.968834990732552
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4910', 'MED-4531', 'MED-4734', 'MED-2809', 'MED-3089', 'MED-325', 'MED-2284', 'MED-3039', 'MED-5075']","[719.7985428459981, 509.3856302814301, 509.3856302814301, 375.53040621971616, 337.1832804961906, 169.6584884729528, 154.6689846829205, 154.6689846829205, 148.9042361451574, 98.21724323330832, 71.90324607144598]",0.9325054944261613
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-3590', 'MED-2911', 'MED-1099', 'MED-4533', 'MED-1838', 'MED-853', 'MED-721', 'MED-4490', 'MED-1272']","[529.3431348907731, 280.306621256023, 241.113091739181, 231.21492545809846, 226.90070068147682, 169.60491011110037, 156.6828485467293, 144.07736523659986, 130.01186193917974, 116.51184086649766, 113.33851188722389]",0.9511443950700798
PLAIN-11,"['MED-3273', 'MED-2509', 'MED-2506', 'MED-2325', 'MED-3082', 'MED-3309', 'MED-4198', 'MED-1033', 'MED-4746', 'MED-854', 'MED-2711']","[433.0912600549884, 330.6358168778309, 288.4974322189156, 254.90539444037964, 175.07016162634451, 154.84475591344915, 135.57118750311946, 113.9982268724817, 106.92276845420142, 99.6095112953259, 79.47324713499923]",0.934470655776914
PLAIN-12,"['MED-73', 'MED-2500', 'MED-2506', 'MED-66', 'MED-571', 'MED-74', 'MED-2518', 'MED-3852', 'MED-1570', 'MED-4264', 'MED-855']","[234.49995302722516, 215.24833103566263, 184.21335287244113, 150.8039677414996, 99.20025226593961, 80.76967482289166, 80.2675178159178, 72.4892628443024, 66.65632547025928, 63.91934358759151, 53.433521047020136]",0.9109594705970963
PLAIN-14,"['MED-2522', 'MED-2293', 'MED-4990', 'MED-1987', 'MED-2270', 'MED-5110', 'MED-2009', 'MED-4956', 'MED-4399', 'MED-1482', 'MED-2089']","[236.8740720727007, 180.0626829749519, 150.95192266102842, 128.81420561271187, 120.27000589908492, 119.9065546885889, 104.70872342265297, 99.2232473446124, 97.93232688876041, 82.59673003724349, 73.06776795940247]",0.9614910331675807
PLAIN-15,"['MED-76', 'MED-728', 'MED-2428', 'MED-3091', 'MED-4830', 'MED-4676', 'MED-4806', 'MED-5343', 'MED-3603', 'MED-4662', 'MED-736']","[284.59263011952964, 221.8630967536407, 171.38765358481163, 159.29564245816536, 142.51311946474584, 110.18133400954166, 98.62918971897945, 93.5825873456569, 87.13894975113568, 83.3976717081407, 71.63581388413408]",0.9430579690378865
PLAIN-16,"['MED-2989', 'MED-295', 'MED-2985', 'MED-2539', 'MED-3548', 'MED-2984', 'MED-2417', 'MED-3258', 'MED-3732', 'MED-3795']","[373.78594222178134, 372.48409568079256, 372.48409568079256, 358.9216898565792, 277.32486569899305, 208.90572569273897, 203.50494620255753, 135.36380947144082, 131.36511397713582, 118.62355777508948]",0.8714244293606089
PLAIN-17,"['MED-4777', 'MED-85', 'MED-2986', 'MED-4465', 'MED-1333', 'MED-4060', 'MED-4056', 'MED-3309', 'MED-4489', 'MED-3795', 'MED-1028']","[376.06840259761225, 364.2001607404666, 345.96367188112794, 227.6016435101008, 221.62383608075262, 149.34609683400475, 149.34609683400475, 144.7597413714778, 123.2290490366565, 120.72591049425861, 119.96208153216418]",0.9285425639281268
PLAIN-18,"['MED-2578', 'MED-1077', 'MED-2983', 'MED-2985', 'MED-1420', 'MED-4056', 'MED-4060', 'MED-5075', 'MED-1028', 'MED-4746', 'MED-1820']","[341.18043346884065, 251.3710861590253, 243.09145652015786, 233.26087281261033, 189.927566764064, 173.38998230837848, 173.38998230837848, 135.50596179346073, 113.82738654654185, 103.97927368611357, 95.8117766966101]",0.9236364669520836
