query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-3', 'MED-4053', 'MED-5088', 'MED-5209', 'MED-5269', 'MED-4916', 'MED-674', 'MED-4198']","[703.4495066796644, 469.4073816899184, 360.8515783193584, 357.44908979180803, 328.30342219898694, 312.65473792182775, 302.2718753109403, 212.49184354514986, 138.8786018937964, 135.38031478571205]",0.966766030137306
PLAIN-2,"['MED-13', 'MED-2427', 'MED-1193', 'MED-1477', 'MED-2439', 'MED-19', 'MED-4675', 'MED-4676', 'MED-2436', 'MED-3795', 'MED-2632']","[458.886922240659, 420.2043994510681, 341.6020933577077, 285.1027765173903, 281.05634369138005, 281.05634369138005, 211.51160316533958, 211.51160316533958, 197.37950742956795, 188.5553235999402, 169.07448647242472]",0.9052123211350158
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-3824', 'MED-2439', 'MED-1824', 'MED-3826', 'MED-355', 'MED-3795', 'MED-1958', 'MED-4676', 'MED-4662']","[354.681046373123, 298.57828635674144, 298.57828635674144, 287.8548444397399, 279.8213221188412, 239.09934337127666, 213.10233468149113, 175.75707026244928, 156.25728403589417, 146.02224200946176, 97.46462308207606]",0.9166486164026099
PLAIN-4,"['MED-2454', 'MED-31', 'MED-4677', 'MED-895', 'MED-765', 'MED-3150', 'MED-366', 'MED-2355', 'MED-3067', 'MED-5248', 'MED-5343']","[428.1633989406257, 260.0356998905228, 187.83775480331406, 179.47292559638146, 163.84610780972994, 156.64896941228673, 156.64896941228673, 153.62196980986096, 135.17776321078932, 133.13310511539396, 113.63138081214959]",0.9097601883606917
PLAIN-5,"['MED-2447', 'MED-2456', 'MED-3744', 'MED-4014', 'MED-5172', 'MED-4091', 'MED-5084', 'MED-1172', 'MED-2468', 'MED-4884', 'MED-895']","[470.69234231249044, 305.738026174591, 290.89776355786927, 230.0703803446066, 225.45279491253342, 200.85841051542803, 200.06452650053654, 165.4836786494664, 158.4810186711565, 151.81690694221112, 151.30963869157142]",0.9541409079036576
PLAIN-6,"['MED-25', 'MED-2456', 'MED-2664', 'MED-895', 'MED-2468', 'MED-5084', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-2339', 'MED-4840']","[585.3816506064405, 437.54855135055595, 275.9619336680836, 273.5308470326798, 264.89525264329603, 256.1613669087317, 242.05663524008912, 236.0087009719101, 188.493082270131, 177.9914479209275, 166.03903589936562]",0.9431685666978221
PLAIN-7,"['MED-31', 'MED-27', 'MED-2478', 'MED-2637', 'MED-130', 'MED-38', 'MED-895', 'MED-635', 'MED-5084', 'MED-4489']","[571.99616700029, 474.9359795179323, 405.87802429526306, 324.49421605785824, 324.49421605785824, 268.6735552839628, 249.02508387960907, 195.6842744390276, 168.42735140504712, 149.50143540669504]",0.9164217572761334
PLAIN-8,"['MED-47', 'MED-1449', 'MED-2423', 'MED-3085', 'MED-4593', 'MED-2206', 'MED-1770', 'MED-5110', 'MED-4490', 'MED-2284', 'MED-1570']","[210.29845868188212, 199.3518533479302, 134.96490587958095, 125.12153956855948, 118.42614774375407, 109.36481613186729, 101.87849054182895, 99.24056632934727, 88.38991494413821, 76.37466044356961, 73.69636469994195]",0.968834990732552
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4910', 'MED-4531', 'MED-4734', 'MED-4736', 'MED-2809', 'MED-3089', 'MED-316', 'MED-3039', 'MED-5075']","[719.7985428459981, 509.3856302814301, 509.3856302814301, 375.53040621971616, 337.1832804961906, 337.1832804961906, 169.6584884729528, 154.6689846829205, 99.94749146986415, 98.21724323330832, 71.90324607144598]",0.9361275634874837
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-3590', 'MED-2911', 'MED-1099', 'MED-4533', 'MED-4528', 'MED-1838', 'MED-721', 'MED-4490', 'MED-1272']","[529.3431348907731, 280.306621256023, 241.113091739181, 231.21492545809846, 226.90070068147682, 169.60491011110037, 169.60491011110037, 156.6828485467293, 130.01186193917974, 116.51184086649766, 113.33851188722389]",0.9337096337962493
